product_description,success
"A sleek and innovative smartwatch with heart-rate monitor, GPS, and long battery life",1
"A stylish leather wallet with RFID protection and multiple compartments",1
"A USB fan with low power output and poor build quality",0
"A durable stainless steel water bottle that keeps drinks hot for 12 hours",1
"A phone case that cracks easily and offers little protection",0
"A noise-cancelling headphone with high-quality sound and comfortable design",1
"A budget smartphone with frequent software glitches and slow performance",0
"A premium backpack with waterproof material and ergonomic straps",1
"A kitchen knife set that rusts quickly and is poorly balanced",0
"An electric toothbrush with multiple brushing modes and long battery life",1
"A wireless charger with slow charging speed and poor compatibility",0
"A compact Bluetooth speaker with deep bass and 10-hour battery life",1
"An ergonomic office chair with lumbar support and breathable mesh",1
"A gaming mouse with poor click response and low DPI",0
"A skincare cream with harmful chemicals and no visible results",0
"Eco-friendly reusable shopping bags made of durable materials",1
"An air fryer with non-stick coating and multiple cooking presets",1
"A vacuum cleaner that overheats quickly and has low suction power",0
"A laptop stand that wobbles and doesn't hold weight well",0
"High-quality noise-isolating in-ear monitors for musicians",1
